Concept,Description,Cleaned_Description,References,Sentences,KeyWords_KeyBert,Synonyms_SBert,KeyWords_SBert
 Integrate Risk Monitoring and Control with Project Monitoring and Control,"From the start, the project management plan should include the actions required to monitor and control project risk. This should be set up early in the project planning cycle, and then adjusted in view of the risk response planning decisions adding, for example, the actions associated with monitoring specific conditions or metrics. Once risk response planning has been carried out, the project schedule should include all of the agreed-upon, response-related actions so that they can be carried out as a normal part of project execution and tracked accordingly. 5",start project management plan include actions required monitor control project risk. set early project planning cycle adjusted view risk response planning decisions adding example actions associated monitoring specific conditions metrics. risk response planning carried project schedule include agreed-upon response-related actions carried normal part project execution tracked accordingly. 5,[],"['start project management plan include action required monitor control project risk', 'set early project planning cycle adjusted view risk response planning decision adding example action associated monitoring specific condition metric', 'risk response planning carried project schedule include agreed-upon response-related action carried normal part project execution tracked accordingly']","['start project management', 'control project risk', 'project planning cycle', 'start project management plan', 'project management plan include', 'set early project planning', 'project management', 'project management plan', 'project planning', 'early project planning']",[],"['start project management', 'control project risk', 'project planning cycle', 'start project management plan', 'project management plan include', 'set early project planning', 'project management', 'project management plan', 'project planning', 'early project planning']"
 Continuously Monitor Risk Trigger Conditions,"Risk response planning will have defined a set of actions to be carried out as part of the project schedule as well as actions whose execution is dependent on a predefined trigger condition. Checking for specifically defined risks that may trigger conditional responses is the responsibility of the risk action owner, in close collaboration with the risk owner under the overall authority of the project manager.",risk response planning defined set actions carried part project schedule well actions whose execution dependent predefined trigger condition. checking specifically defined risks may trigger conditional responses responsibility risk action owner close collaboration risk owner overall authority project manager.,[],"['risk response planning defined set action carried part project schedule well action whose execution dependent predefined trigger condition', 'checking specifically defined risk may trigger conditional response responsibility risk action owner close collaboration risk owner overall authority project manager']","['risk response planning defined', 'responsibility risk action', 'response planning defined set', 'responses responsibility risk action', 'response planning defined', 'response planning', 'risk response', 'conditional responses responsibility risk', 'risk response planning', 'responses responsibility risk']",[],"['risk response planning defined', 'responsibility risk action', 'response planning defined set', 'responses responsibility risk action', 'response planning defined', 'response planning', 'risk response', 'conditional responses responsibility risk', 'risk response planning', 'responses responsibility risk']"
 Maintain Risk Awareness,"Risk management reports should be a regular item on every status meeting agenda to ensure that all team members remain aware of the importance of risk management and to ensure that it is fully integrated into all of the project management decisions. The projects senior-level sponsor should require regular reports on the risks and the planned responses to ensure that stakeholders are aware of the importance of keeping a focus on risk. Sponsor feedback also motivates the project team by demonstrating senior-level interest in Project Risk Management. Stakeholders perception of the effectiveness of risk management is conditioned in part by the way in which risks are handled as they occur, and by the number or characteristics of such events. It is therefore crucial, whenever a risk occurs, that information about the event, as well as the progress and effectiveness of the responses, be communicated at regular intervals and in an honest manner adapted to the needs of each stakeholder. This should be supported by a well-executed communications plan.",risk management reports regular item every status meeting agenda ensure team members remain aware importance risk management ensure fully integrated project management decisions. projects senior-level sponsor require regular reports risks planned responses ensure stakeholders aware importance keeping focus risk. sponsor feedback also motivates project team demonstrating senior-level interest project risk management. stakeholders perception effectiveness risk management conditioned part way risks handled occur number characteristics events. therefore crucial whenever risk occurs information event well progress effectiveness responses communicated regular intervals honest manner adapted needs stakeholder. supported well-executed communications plan.,[],"['risk management report regular item every status meeting agenda ensure team member remain aware importance risk management ensure fully integrated project management decision', 'project senior-level sponsor require regular report risk planned response ensure stakeholder aware importance keeping focus risk', 'sponsor feedback also motivates project team demonstrating senior-level interest project risk management', 'stakeholder perception effectiveness risk management conditioned part way risk handled occur number characteristic event', 'therefore crucial whenever risk occurs information event well progress effectiveness response communicated regular interval honest manner adapted need stakeholder', 'supported well-executed communication plan']","['project risk management stakeholders', 'project risk management', 'risk management', 'level project risk management', 'senior level project risk', 'risk management reports', 'level project risk', 'importance risk management ensure', 'risk management stakeholders', 'project risk']",[],"['project risk management stakeholders', 'project risk management', 'risk management', 'level project risk management', 'senior level project risk', 'risk management reports', 'level project risk', 'importance risk management ensure', 'risk management stakeholders', 'project risk']"
 Tools and Techniques for the Monitor and Control Risks Process,"In addition to standard project management monitoring and control capabilities, risk monitoring and controlling requires a focus on the tools which will support its key success factors for tracking overall risk as well as individual risks.",addition standard project management monitoring control capabilities risk monitoring controlling requires focus tools support key success factors tracking overall risk well individual risks.,[],['addition standard project management monitoring control capability risk monitoring controlling requires focus tool support key success factor tracking overall risk well individual risk'],"['standard project management monitoring', 'risk monitoring controlling requires', 'project management monitoring control', 'standard project management', 'project management monitoring', 'risk monitoring controlling', 'risk monitoring', 'project management', 'addition standard project management', 'monitoring controlling requires']",[],"['standard project management monitoring', 'risk monitoring controlling requires', 'project management monitoring control', 'standard project management', 'project management monitoring', 'risk monitoring controlling', 'risk monitoring', 'project management', 'addition standard project management', 'monitoring controlling requires']"
 Managing Contingency Reserves,"Reserves may have been allocated separately to cover time-related and cost-related risks. Techniques are required that allow the project manager to assess at any point in the project whether these provide the required level of confidence in the success of the project. Tools for managing time buffers should be closely integrated into the projects scheduling techniques, whereas those for managing cost should be compatible with the financial practices. Tools are required to identify trends and forecast future outcomes to determine whether the reserves will remain sufficient. Tools are also required for tracking progress and spending in a consolidated manner. 5",reserves may allocated separately cover time-related cost-related risks. techniques required allow project manager assess point project whether provide required level confidence success project. tools managing time buffers closely integrated projects scheduling techniques whereas managing cost compatible financial practices. tools required identify trends forecast future outcomes determine whether reserves remain sufficient. tools also required tracking progress spending consolidated manner. 5,[],"['reserve may allocated separately cover time-related cost-related risk', 'technique required allow project manager ass point project whether provide required level confidence success project', 'tool managing time buffer closely integrated project scheduling technique whereas managing cost compatible financial practice', 'tool required identify trend forecast future outcome determine whether reserve remain sufficient', 'tool also required tracking progress spending consolidated manner']","['reserves allocated separately cover', 'techniques managing cost', 'future outcomes determine reserves', 'determine reserves', 'reserves allocated separately', 'projects scheduling techniques', 'projects scheduling techniques managing', 'outcomes determine reserves', 'managing cost', 'reserves allocated']",[],"['reserves allocated separately cover', 'techniques managing cost', 'future outcomes determine reserves', 'determine reserves', 'reserves allocated separately', 'projects scheduling techniques', 'projects scheduling techniques managing', 'outcomes determine reserves', 'managing cost', 'reserves allocated']"
 Tracking Trigger Conditions,"Trigger conditions and the corresponding metrics are defined during the Plan Risk Responses process. Tools are required to evaluate and track these conditions against the project baseline or specified thresholds, based on actual status. They can be chosen to provide information on risks related to the deliverables, such as performance, as well as on project-related features, such as time and cost.",trigger conditions corresponding metrics defined plan risk responses process. tools required evaluate track conditions project baseline specified thresholds based actual status. chosen provide information risks related deliverables performance well project-related features time cost.,[],"['trigger condition corresponding metric defined plan risk response process', 'tool required evaluate track condition project baseline specified threshold based actual status', 'chosen provide information risk related deliverable performance well project-related feature time cost']","['risks related deliverables performance', 'risk responses process tools', 'plan risk responses process', 'plan risk responses', 'deliverables performance project related', 'plan risk', 'defined plan risk responses', 'track conditions project baseline', 'conditions project baseline specified', 'metrics defined plan risk']",[],"['risks related deliverables performance', 'risk responses process tools', 'plan risk responses process', 'plan risk responses', 'deliverables performance project related', 'plan risk', 'defined plan risk responses', 'track conditions project baseline', 'conditions project baseline specified', 'metrics defined plan risk']"
 Tracking Overall Risk,"Tools are required in order to determine, as the project progresses, whether the responses are having the expected effect on the projects overall level of risk.",tools required order determine project progresses whether responses expected effect projects overall level risk.,[],['tool required order determine project progress whether response expected effect project overall level risk'],"['project progresses responses', 'required order determine project', 'project progresses', 'expected effect projects', 'responses expected effect projects', 'expected effect projects overall', 'projects overall level risk', 'order determine project progresses', 'determine project progresses responses', 'determine project progresses']",[],"['project progresses responses', 'required order determine project', 'project progresses', 'expected effect projects', 'responses expected effect projects', 'expected effect projects overall', 'projects overall level risk', 'order determine project progresses', 'determine project progresses responses', 'determine project progresses']"
 Tracking Compliance,"In order to monitor the quality of the execution of the risk-related plans and processes, a set of quality metrics such as degree of variation from the baseline, should be tracked and recorded. These metrics will normally have been defined in the risk management plan.",order monitor quality execution risk-related plans processes set quality metrics degree variation baseline tracked recorded. metrics normally defined risk management plan.,[],"['order monitor quality execution risk-related plan process set quality metric degree variation baseline tracked recorded', 'metric normally defined risk management plan']","['monitor quality execution risk', 'order monitor quality', 'risk related plans processes', 'quality execution risk related', 'quality execution risk', 'monitor quality execution', 'processes set quality metrics', 'quality metrics', 'execution risk related plans', 'order monitor quality execution']",[],"['monitor quality execution risk', 'order monitor quality', 'risk related plans processes', 'quality execution risk related', 'quality execution risk', 'monitor quality execution', 'processes set quality metrics', 'quality metrics', 'execution risk related plans', 'order monitor quality execution']"
 Documenting the Results of the Monitor and Control Risks Process,"The final control action of risk monitoring and controlling is to record actual data for future use. This includes all of the relevant information relating to risk management from start to finish of the project. The definition of what this information must include, as well as the storage mechanism, should have been previously specified in the risk management plan. The goal is to ensure that the significant risk management information is recorded to provide concrete data to the lessons learned process for inclusion in a lessons learned document, report, or other communication vehicle. Typical information includes the following For each identified risk or type of risk, whether it occurred, and, if so, when and how often. All relevant data should be recorded impact, effectiveness of detection and of response, and any unplanned, additional actions that were carried out. Effectiveness of avoidance or exploitation actions. Effectiveness of transfer and sharing actions. Unexpected or undocumented risks which occurred and data about them. Effectiveness of risk mitigation and enhancement actions. Occurrence of accepted threats or opportunities. Consolidated information should be provided on the level of effort expended. Costs and benefits to the project of risk management activities should also be provided. This information will need to be archived and indexed in a manner that will facilitate retrieval for easy review during the project, at closure, and for future projects, when the need arises. 57A",final control action risk monitoring controlling record actual data future use. includes relevant information relating risk management start finish project. definition information must include well storage mechanism previously specified risk management plan. goal ensure significant risk management information recorded provide concrete data lessons learned process inclusion lessons learned document report communication vehicle. typical information includes following identified risk type risk whether occurred often. relevant data recorded impact effectiveness detection response unplanned additional actions carried out. effectiveness avoidance exploitation actions. effectiveness transfer sharing actions. unexpected undocumented risks occurred data them. effectiveness risk mitigation enhancement actions. occurrence accepted threats opportunities. consolidated information provided level effort expended. costs benefits project risk management activities also provided. information need archived indexed manner facilitate retrieval easy review project closure future projects need arises. 57a,[],"['final control action risk monitoring controlling record actual data future use', 'includes relevant information relating risk management start finish project', 'definition information must include well storage mechanism previously specified risk management plan', 'goal ensure significant risk management information recorded provide concrete data lesson learned process inclusion lesson learned document report communication vehicle', 'typical information includes following identified risk type risk whether occurred often', 'relevant data recorded impact effectiveness detection response unplanned additional action carried out', 'effectiveness avoidance exploitation action', 'effectiveness transfer sharing action', 'unexpected undocumented risk occurred data them', 'effectiveness risk mitigation enhancement action', 'occurrence accepted threat opportunity', 'consolidated information provided level effort expended', 'cost benefit project risk management activity also provided', 'information need archived indexed manner facilitate retrieval easy review project closure future project need arises']","['risk management information', 'project risk management', 'project risk management activities', 'information relating risk management', 'risk management information recorded', 'significant risk management information', 'risk management activities', 'relating risk management', 'risk management activities provided', 'project risk']",[],"['risk management information', 'project risk management', 'project risk management activities', 'information relating risk management', 'risk management information recorded', 'significant risk management information', 'risk management activities', 'relating risk management', 'risk management activities provided', 'project risk']"
 GUIDELINES FOR A PMI PRACTICE STANDARD,"A PMI practice standard is characterized as follows Each practice standard provides guidelines on the mechanics e.g., nuts and bolts, basics, fundamentals, step-by-step usage guide, how it operates, how to do it of some significant process input, tool, technique, or output that is relevant to a project manager. A practice standard does not necessarily mirror the life-cycle phases of many projects however, an individual practice standard may be applicable to the completion of one or more phases within a project. A practice standard does not necessarily mirror the Knowledge Areas within A Guide to the Project Management Body of Knowledge PMBOK Guide Fourth Edition, although an individual practice standard will provide sufficient detail and background for one or more of the inputs, tools and techniques, andor outputs. Therefore, practice standards are not required to use the name of any Knowledge Area. Each practice standard should include information on what the significant process is and does, why it is significant, how to perform it, when it should be performed, and, if necessary for further clarification, who should perform it. Each practice standard should include information that is accepted and applicable for most projects most of the time within the project management community. Processes that are generally restricted or applicable to one industry, country, or companion profession i.e., an application area may be included as an appendix for informational purposes, rather than as part of the practice standard. With strong support and evidence, an application area-specific process may be considered as an extension practice standard, in the same manner as extensions to the PMBOK Guide Fourth Edition are considered. Each practice standard will benefit from the inclusion of examples and templates. It is best when an example or template includes a discussion of its strengths and weaknesses. A background description may be necessary to put this discussion in the appropriate context. The examples should be aligned with the relevant information in the standard or its appendix and placed in proximity to that information. All practice standards shall be written in the same general style and format. E ach practice standard project will be aligned with or reference other practice standards, as needed. Each practice standard will be consistent with the PMBOK Guide Fourth Edition. Each practice standard is intended to be more prescriptive than the PMBOK Guide Fourth Edition. 59B",pmi practice standard characterized follows practice standard provides guidelines mechanics example. nuts bolts basics fundamentals step-by-step usage guide operates significant process input tool technique output relevant project manager. practice standard necessarily mirror life-cycle phases many projects however individual practice standard may applicable completion one phases within project. practice standard necessarily mirror knowledge areas within guide project management body knowledge pmbok guide fourth edition although individual practice standard provide sufficient detail background one inputs tools techniques andor outputs. therefore practice standards required use name knowledge area. practice standard include information significant process significant perform performed necessary clarification perform it. practice standard include information accepted applicable projects time within project management community. processes generally restricted applicable one industry country companion profession i.e. application area may included appendix informational purposes rather part practice standard. strong support evidence application area-specific process may considered extension practice standard manner extensions pmbok guide fourth edition considered. practice standard benefit inclusion examples templates. best example template includes discussion strengths weaknesses. background description may necessary put discussion appropriate context. examples aligned relevant information standard appendix placed proximity information. practice standards shall written general style format. e ach practice standard project aligned reference practice standards needed. practice standard consistent pmbok guide fourth edition. practice standard intended prescriptive pmbok guide fourth edition. 59b,[],"['pmi practice standard characterized follows practice standard provides guideline mechanic example', 'nut bolt basic fundamental step-by-step usage guide operates significant process input tool technique output relevant project manager', 'practice standard necessarily mirror life-cycle phase many project however individual practice standard may applicable completion one phase within project', 'practice standard necessarily mirror knowledge area within guide project management body knowledge pmbok guide fourth edition although individual practice standard provide sufficient detail background one input tool technique andor output', 'therefore practice standard required use name knowledge area', 'practice standard include information significant process significant perform performed necessary clarification perform it', 'practice standard include information accepted applicable project time within project management community', 'process generally restricted applicable one industry country companion profession i', 'e', 'application area may included appendix informational purpose rather part practice standard', 'strong support evidence application area-specific process may considered extension practice standard manner extension pmbok guide fourth edition considered', 'practice standard benefit inclusion example template', 'best example template includes discussion strength weakness', 'background description may necessary put discussion appropriate context', 'example aligned relevant information standard appendix placed proximity information', 'practice standard shall written general style format', 'e ach practice standard project aligned reference practice standard needed', 'practice standard consistent pmbok guide fourth edition', 'practice standard intended prescriptive pmbok guide fourth edition']","['pmi practice', 'pmi practice standard', 'standards needed practice standard', 'practice standard provides guidelines', 'project practice standard', 'projects individual practice standard', 'pmi practice standard characterized', 'project practice standard necessarily', 'phases project practice standard', 'project manager practice standard']","['pmi practice standard', 'pmi practice standard characterized']","['pmi practice', 'standards needed practice standard', 'practice standard provides guidelines', 'project practice standard', 'projects individual practice standard', 'project practice standard necessarily', 'phases project practice standard', 'project manager practice standard']"
 EVOLUTION OF PMIS PRACTICE STANDARD FOR PROJECT RISK MANAGEMENT,"B.1 Pre-Project In early 2005, PMI began exploration for developing the first Practice Standard for Project Risk Management. Focus would be placed on single project risk management for a single project rather than including programs or portfolios of projects, with close coupling to the Project Risk Management section of A Guide to the Project Management Body of Knowledge PMBOK Guide Third Edition. By April 20, 2006, the PMI Standards Members Advisory Group MAG approved the following final charter for the standard, with Cynthia A. Berg, PMP , as the Project Manager, and Dr. David Hulett as the Deputy Project Manager. The charter included the following characteristics for the standard Provides information on Project Risk Management that includes information that is clear, complete, relevant, and generally recognized as good practice on most projects most of the time. Is consistent with the PMBOK Guide Third Edition, expanding but not contradicting, the concepts and techniques related to Project Risk Management, and keeps within the limits and practices of Project Risk Management as described within Chapter 11 of the PMBOK Guide Third Edition. Has been reviewed and updated by the Practice Standard for Project Risk Management Project Team. Is written for project management practitioners and other stakeholders of the project management profession. Describes the processes that are unique to Project Risk Management. Includes in an appendix, examples and templates of specific Project Risk Management processes, tools, andor techniques addressed in the practice standard, with discussions of their strengths and weaknesses, including background descriptions that put the relative strengths and weaknesses into context. Uses the PMBOK Guide Third Edition Glossary as the starting point of its glossary, and does not contain contradictions. Uses a glossary term in the text without definition or additional explanation. Is aligned with and does not contradict other PMI standards. Follows the PMI Style Guide, is written in North American English, translatable to PMI official languages, and is sensitive to cultural issues. 60B Can be approved as a PMI standard, which means that in addition to the content being acceptable, the process for selecting team members and soliciting and responding to comments on the product must be open and inclusive.",b.1 pre-project early 2005 pmi began exploration developing first practice standard project risk management. focus would placed single project risk management single project rather including programs portfolios projects close coupling project risk management section guide project management body knowledge pmbok guide third edition. april 20 2006 pmi standards members advisory group mag approved following final charter standard cynthia a. berg pmp project manager dr. david hulett deputy project manager. charter included following characteristics standard provides information project risk management includes information clear complete relevant generally recognized good practice projects time. consistent pmbok guide third edition expanding contradicting concepts techniques related project risk management keeps within limits practices project risk management described within chapter 11 pmbok guide third edition. reviewed updated practice standard project risk management project team. written project management practitioners stakeholders project management profession. describes processes unique project risk management. includes appendix examples templates specific project risk management processes tools andor techniques addressed practice standard discussions strengths weaknesses including background descriptions put relative strengths weaknesses context. uses pmbok guide third edition glossary starting point glossary contain contradictions. uses glossary term text without definition additional explanation. aligned contradict pmi standards. follows pmi style guide written north american english translatable pmi official languages sensitive cultural issues. 60b approved pmi standard means addition content acceptable process selecting team members soliciting responding comments product must open inclusive.,[],"['b.1 pre-project early 2005 pmi began exploration developing first practice standard project risk management', 'focus would placed single project risk management single project rather including program portfolio project close coupling project risk management section guide project management body knowledge pmbok guide third edition', 'april 20 2006 pmi standard member advisory group mag approved following final charter standard cynthia a', 'berg pmp project manager dr', 'david hulett deputy project manager', 'charter included following characteristic standard provides information project risk management includes information clear complete relevant generally recognized good practice project time', 'consistent pmbok guide third edition expanding contradicting concept technique related project risk management keep within limit practice project risk management described within chapter 11 pmbok guide third edition', 'reviewed updated practice standard project risk management project team', 'written project management practitioner stakeholder project management profession', 'describes process unique project risk management', 'includes appendix example template specific project risk management process tool andor technique addressed practice standard discussion strength weakness including background description put relative strength weakness context', 'us pmbok guide third edition glossary starting point glossary contain contradiction', 'us glossary term text without definition additional explanation', 'aligned contradict pmi standard', 'follows pmi style guide written north american english translatable pmi official language sensitive cultural issue', '60b approved pmi standard mean addition content acceptable process selecting team member soliciting responding comment product must open inclusive']","['standard project risk management', 'project risk management', 'project risk management processes', 'project risk management described', 'related project risk management', 'project risk management project', 'practices project risk management', 'project risk management includes', 'practice standard project risk', 'project risk management section']",[],"['standard project risk management', 'project risk management', 'project risk management processes', 'project risk management described', 'related project risk management', 'project risk management project', 'practices project risk management', 'project risk management includes', 'practice standard project risk', 'project risk management section']"
 Preliminary Work,"In recognition that risk management is not practiced well on many projects, the project team set out to identify practices that are viewed as best practices, as those are understood, and applied in most successfully managed projects most of the time. The project core team was initially formed in the fall of 2005 and consisted of Dr. David Hillson PMP , Kik Piney, and Kris Persun.",recognition risk management practiced well many projects project team set identify practices viewed best practices understood applied successfully managed projects time. project core team initially formed fall 2005 consisted dr. david hillson pmp kik piney kris persun.,[],"['recognition risk management practiced well many project project team set identify practice viewed best practice understood applied successfully managed project time', 'project core team initially formed fall 2005 consisted dr', 'david hillson pmp kik piney kris persun']","['practiced projects project team', 'recognition risk management practiced', 'management practiced projects', 'projects project team set', 'risk management practiced projects', 'projects project team', 'project core team', 'management practiced projects project', 'project core team initially', 'project team']",[],"['practiced projects project team', 'recognition risk management practiced', 'management practiced projects', 'projects project team set', 'risk management practiced projects', 'projects project team', 'project core team', 'management practiced projects project', 'project core team initially', 'project team']"
 Scope Changes,"During the time the project was chartered, the PMBOK Guide Fourth Edition was commissioned. As a result, the charter of the Practice Standard for Project Risk Management was expanded to be consistent and non-contradictory with that standard.",time project chartered pmbok guide fourth edition commissioned. result charter practice standard project risk management expanded consistent non-contradictory standard.,[],"['time project chartered pmbok guide fourth edition commissioned', 'result charter practice standard project risk management expanded consistent non-contradictory standard']","['standard project risk management', 'standard project risk', 'project risk management', 'risk management expanded', 'project risk management expanded', 'project chartered pmbok guide', 'project chartered pmbok', 'risk management', 'practice standard project risk', 'project risk']",[],"['standard project risk management', 'standard project risk', 'project risk management', 'risk management expanded', 'project risk management expanded', 'project chartered pmbok guide', 'project chartered pmbok', 'risk management', 'practice standard project risk', 'project risk']"
 Exposure and Consensus,"The standard was submitted as an exposure draft in the winter of 2007, and exposed on 23 March 2008. There were 849 comments. The teams comment acceptance rate comments accepted outright, and accepted with modifications was 57. The PMI Standards Manager submitted the resultant final draft, with the concurrence of the PMI Standards Program MAG, to the PMI Standards Program Consensus Body for official ballot on 27 March 2009 . Twenty-eight members of the PMI Standards Program Consensus Body agreed to participate in the ballot of the Practice Standard for Project Risk Management. Those not participating included the PM and Deputy PM for this standard because their participation was considered a con ict of interest. The balloting period was closed on 25 April 2009 with 23 ballots returned. Consensus Body voting results were as follows 22 affirmative and 1 affirmative with comment. The affirmative with comment pertained to future revisions of the standard and possible improvements to the comment adjudication process.61C",standard submitted exposure draft winter 2007 exposed 23 march 2008. 849 comments. teams comment acceptance rate comments accepted outright accepted modifications 57. pmi standards manager submitted resultant final draft concurrence pmi standards program mag pmi standards program consensus body official ballot 27 march 2009 . twenty-eight members pmi standards program consensus body agreed participate ballot practice standard project risk management. participating included pm deputy pm standard participation considered con ict interest. balloting period closed 25 april 2009 23 ballots returned. consensus body voting results follows 22 affirmative 1 affirmative comment. affirmative comment pertained future revisions standard possible improvements comment adjudication process.61c,[],"['standard submitted exposure draft winter 2007 exposed 23 march 2008. 849 comment', 'team comment acceptance rate comment accepted outright accepted modification 57. pmi standard manager submitted resultant final draft concurrence pmi standard program mag pmi standard program consensus body official ballot 27 march 2009', 'twenty-eight member pmi standard program consensus body agreed participate ballot practice standard project risk management', 'participating included pm deputy pm standard participation considered con ict interest', 'balloting period closed 25 april 2009 23 ballot returned', 'consensus body voting result follows 22 affirmative 1 affirmative comment', 'affirmative comment pertained future revision standard possible improvement comment adjudication process.61c']","['members pmi standards program', 'pmi standards manager submitted', '2009 members pmi standards', 'pmi standards', 'members pmi standards', 'draft concurrence pmi standards', 'pmi standards program consensus', 'modifications 57 pmi standards', 'pmi standards program', 'concurrence pmi standards program']",[],"['members pmi standards program', 'pmi standards manager submitted', '2009 members pmi standards', 'pmi standards', 'members pmi standards', 'draft concurrence pmi standards', 'pmi standards program consensus', 'modifications 57 pmi standards', 'pmi standards program', 'concurrence pmi standards program']"
 CONTRIBUTORS AND REVIEWERS OF THE PRACTICE STANDARD FOR PROJECT RISK MANAGEMENT,"This appendix lists, alphabetically within groupings, those individuals who have contributed to the development and production of the Practice Standard for Project Risk Management . No simple list or even multiple lists can adequately convey all the contributions of those who have volunteered to develop the Practice Standard for Project Risk Management . The Project Management Institute is grateful to all of these individuals for their support and acknowledges their contributions to the project management profession.",appendix lists alphabetically within groupings individuals contributed development production practice standard project risk management . simple list even multiple lists adequately convey contributions volunteered develop practice standard project risk management . project management institute grateful individuals support acknowledges contributions project management profession.,[],"['appendix list alphabetically within grouping individual contributed development production practice standard project risk management', 'simple list even multiple list adequately convey contribution volunteered develop practice standard project risk management', 'project management institute grateful individual support acknowledges contribution project management profession']","['appendix lists', 'acknowledges contributions project', 'project management institute grateful', 'contributions project', 'acknowledges contributions project management', 'volunteered develop practice standard', 'contributions volunteered develop practice', 'contributions project management', 'contributions project management profession', 'project management profession']",[],"['appendix lists', 'acknowledges contributions project', 'project management institute grateful', 'contributions project', 'acknowledges contributions project management', 'volunteered develop practice standard', 'contributions volunteered develop practice', 'contributions project management', 'contributions project management profession', 'project management profession']"
 Practice Standard for Project Risk Management Project Core Team,"The following individuals served as members, were contributors of text or concepts, and served as leaders within the Project Core Team PCT Cynthia Ann Berg, PhD, PMP Project Manager David T. Hulett, PhD, Deputy Project Manager Dr. David Hillson FRSA, FIRM Kristine Persun, MA, PMP Crispin Kik Piney, BSc, PMP Kristin L. Vitello, Standards Project Specialist Nan Wolfslayer, AStd, Standards Compliance Specialist",following individuals served members contributors text concepts served leaders within project core team pct cynthia ann berg phd pmp project manager david t. hulett phd deputy project manager dr. david hillson frsa firm kristine persun pmp crispin kik piney bsc pmp kristin l. vitello standards project specialist nan wolfslayer astd standards compliance specialist,[],"['following individual served member contributor text concept served leader within project core team pct cynthia ann berg phd pmp project manager david t', 'hulett phd deputy project manager dr', 'david hillson frsa firm kristine persun pmp crispin kik piney bsc pmp kristin l', 'vitello standard project specialist nan wolfslayer astd standard compliance specialist']","['standards project specialist', 'served leaders project core', 'concepts served leaders project', 'project manager dr david', 'leaders project', 'served leaders project', 'project core team', 'project specialist nan wolfslayer', 'project manager david', 'leaders project core team']",[],"['standards project specialist', 'served leaders project core', 'concepts served leaders project', 'project manager dr david', 'leaders project', 'served leaders project', 'project core team', 'project specialist nan wolfslayer', 'project manager david', 'leaders project core team']"
 Significant Contributors,"In addition to the members of the Project Core Team and the Sub-Team Leaders, the following individuals provided significant input or concepts Jeannette Horne 62C",addition members project core team sub-team leaders following individuals provided significant input concepts jeannette horne 62c,[],['addition member project core team sub-team leader following individual provided significant input concept jeannette horne 62c'],"['sub team leaders', 'members project core', 'team leaders', 'leaders following individuals provided', 'addition members project', 'core team sub team', 'project core team', 'members project', 'members project core team', 'team sub team leaders']",[],"['sub team leaders', 'members project core', 'team leaders', 'leaders following individuals provided', 'addition members project', 'core team sub team', 'project core team', 'members project', 'members project core team', 'team sub team leaders']"
