Concept,Description,Cleaned_Description,References
 Tracking Trigger Conditions,"Trigger conditions and the corresponding metrics are defined during the Plan Risk Responses process. Tools are required to evaluate and track these conditions against the project baseline or specified thresholds, based on actual status. They can be chosen to provide information on risks related to the deliverables, such as performance, as well as on project-related features, such as time and cost.",trigger conditions corresponding metrics defined plan risk responses process. tools required evaluate track conditions project baseline specified thresholds based actual status. chosen provide information risks related deliverables performance well project-related features time cost.,[]
 Tracking Overall Risk,"Tools are required in order to determine, as the project progresses, whether the responses are having the expected effect on the projects overall level of risk.",tools required order determine project progresses whether responses expected effect projects overall level risk.,[]
 Tracking Compliance,"In order to monitor the quality of the execution of the risk-related plans and processes, a set of quality metrics such as degree of variation from the baseline, should be tracked and recorded. These metrics will normally have been defined in the risk management plan.",order monitor quality execution risk-related plans processes set quality metrics degree variation baseline tracked recorded. metrics normally defined risk management plan.,[]
 Documenting the Results of the Monitor and Control Risks Process,"The final control action of risk monitoring and controlling is to record actual data for future use. This includes all of the relevant information relating to risk management from start to finish of the project. The definition of what this information must include, as well as the storage mechanism, should have been previously specified in the risk management plan. The goal is to ensure that the significant risk management information is recorded to provide concrete data to the lessons learned process for inclusion in a lessons learned document, report, or other communication vehicle. Typical information includes the following For each identified risk or type of risk, whether it occurred, and, if so, when and how often. All relevant data should be recorded impact, effectiveness of detection and of response, and any unplanned, additional actions that were carried out. Effectiveness of avoidance or exploitation actions. Effectiveness of transfer and sharing actions. Unexpected or undocumented risks which occurred and data about them. Effectiveness of risk mitigation and enhancement actions. Occurrence of accepted threats or opportunities. Consolidated information should be provided on the level of effort expended. Costs and benefits to the project of risk management activities should also be provided. This information will need to be archived and indexed in a manner that will facilitate retrieval for easy review during the project, at closure, and for future projects, when the need arises. 57A",final control action risk monitoring controlling record actual data future use. includes relevant information relating risk management start finish project. definition information must include well storage mechanism previously specified risk management plan. goal ensure significant risk management information recorded provide concrete data lessons learned process inclusion lessons learned document report communication vehicle. typical information includes following identified risk type risk whether occurred often. relevant data recorded impact effectiveness detection response unplanned additional actions carried out. effectiveness avoidance exploitation actions. effectiveness transfer sharing actions. unexpected undocumented risks occurred data them. effectiveness risk mitigation enhancement actions. occurrence accepted threats opportunities. consolidated information provided level effort expended. costs benefits project risk management activities also provided. information need archived indexed manner facilitate retrieval easy review project closure future projects need arises. 57a,[]
 GUIDELINES FOR A PMI PRACTICE STANDARD,"A PMI practice standard is characterized as follows Each practice standard provides guidelines on the mechanics e.g., nuts and bolts, basics, fundamentals, step-by-step usage guide, how it operates, how to do it of some significant process input, tool, technique, or output that is relevant to a project manager. A practice standard does not necessarily mirror the life-cycle phases of many projects however, an individual practice standard may be applicable to the completion of one or more phases within a project. A practice standard does not necessarily mirror the Knowledge Areas within A Guide to the Project Management Body of Knowledge PMBOK Guide Fourth Edition, although an individual practice standard will provide sufficient detail and background for one or more of the inputs, tools and techniques, andor outputs. Therefore, practice standards are not required to use the name of any Knowledge Area. Each practice standard should include information on what the significant process is and does, why it is significant, how to perform it, when it should be performed, and, if necessary for further clarification, who should perform it. Each practice standard should include information that is accepted and applicable for most projects most of the time within the project management community. Processes that are generally restricted or applicable to one industry, country, or companion profession i.e., an application area may be included as an appendix for informational purposes, rather than as part of the practice standard. With strong support and evidence, an application area-specific process may be considered as an extension practice standard, in the same manner as extensions to the PMBOK Guide Fourth Edition are considered. Each practice standard will benefit from the inclusion of examples and templates. It is best when an example or template includes a discussion of its strengths and weaknesses. A background description may be necessary to put this discussion in the appropriate context. The examples should be aligned with the relevant information in the standard or its appendix and placed in proximity to that information. All practice standards shall be written in the same general style and format. E ach practice standard project will be aligned with or reference other practice standards, as needed. Each practice standard will be consistent with the PMBOK Guide Fourth Edition. Each practice standard is intended to be more prescriptive than the PMBOK Guide Fourth Edition. 59B",pmi practice standard characterized follows practice standard provides guidelines mechanics example. nuts bolts basics fundamentals step-by-step usage guide operates significant process input tool technique output relevant project manager. practice standard necessarily mirror life-cycle phases many projects however individual practice standard may applicable completion one phases within project. practice standard necessarily mirror knowledge areas within guide project management body knowledge pmbok guide fourth edition although individual practice standard provide sufficient detail background one inputs tools techniques andor outputs. therefore practice standards required use name knowledge area. practice standard include information significant process significant perform performed necessary clarification perform it. practice standard include information accepted applicable projects time within project management community. processes generally restricted applicable one industry country companion profession i.e. application area may included appendix informational purposes rather part practice standard. strong support evidence application area-specific process may considered extension practice standard manner extensions pmbok guide fourth edition considered. practice standard benefit inclusion examples templates. best example template includes discussion strengths weaknesses. background description may necessary put discussion appropriate context. examples aligned relevant information standard appendix placed proximity information. practice standards shall written general style format. e ach practice standard project aligned reference practice standards needed. practice standard consistent pmbok guide fourth edition. practice standard intended prescriptive pmbok guide fourth edition. 59b,[]
 EVOLUTION OF PMIS PRACTICE STANDARD FOR PROJECT RISK MANAGEMENT,"B.1 Pre-Project In early 2005, PMI began exploration for developing the first Practice Standard for Project Risk Management. Focus would be placed on single project risk management for a single project rather than including programs or portfolios of projects, with close coupling to the Project Risk Management section of A Guide to the Project Management Body of Knowledge PMBOK Guide Third Edition. By April 20, 2006, the PMI Standards Members Advisory Group MAG approved the following final charter for the standard, with Cynthia A. Berg, PMP , as the Project Manager, and Dr. David Hulett as the Deputy Project Manager. The charter included the following characteristics for the standard Provides information on Project Risk Management that includes information that is clear, complete, relevant, and generally recognized as good practice on most projects most of the time. Is consistent with the PMBOK Guide Third Edition, expanding but not contradicting, the concepts and techniques related to Project Risk Management, and keeps within the limits and practices of Project Risk Management as described within Chapter 11 of the PMBOK Guide Third Edition. Has been reviewed and updated by the Practice Standard for Project Risk Management Project Team. Is written for project management practitioners and other stakeholders of the project management profession. Describes the processes that are unique to Project Risk Management. Includes in an appendix, examples and templates of specific Project Risk Management processes, tools, andor techniques addressed in the practice standard, with discussions of their strengths and weaknesses, including background descriptions that put the relative strengths and weaknesses into context. Uses the PMBOK Guide Third Edition Glossary as the starting point of its glossary, and does not contain contradictions. Uses a glossary term in the text without definition or additional explanation. Is aligned with and does not contradict other PMI standards. Follows the PMI Style Guide, is written in North American English, translatable to PMI official languages, and is sensitive to cultural issues. 60B Can be approved as a PMI standard, which means that in addition to the content being acceptable, the process for selecting team members and soliciting and responding to comments on the product must be open and inclusive.",b.1 pre-project early 2005 pmi began exploration developing first practice standard project risk management. focus would placed single project risk management single project rather including programs portfolios projects close coupling project risk management section guide project management body knowledge pmbok guide third edition. april 20 2006 pmi standards members advisory group mag approved following final charter standard cynthia a. berg pmp project manager dr. david hulett deputy project manager. charter included following characteristics standard provides information project risk management includes information clear complete relevant generally recognized good practice projects time. consistent pmbok guide third edition expanding contradicting concepts techniques related project risk management keeps within limits practices project risk management described within chapter 11 pmbok guide third edition. reviewed updated practice standard project risk management project team. written project management practitioners stakeholders project management profession. describes processes unique project risk management. includes appendix examples templates specific project risk management processes tools andor techniques addressed practice standard discussions strengths weaknesses including background descriptions put relative strengths weaknesses context. uses pmbok guide third edition glossary starting point glossary contain contradictions. uses glossary term text without definition additional explanation. aligned contradict pmi standards. follows pmi style guide written north american english translatable pmi official languages sensitive cultural issues. 60b approved pmi standard means addition content acceptable process selecting team members soliciting responding comments product must open inclusive.,[]
 Preliminary Work,"In recognition that risk management is not practiced well on many projects, the project team set out to identify practices that are viewed as best practices, as those are understood, and applied in most successfully managed projects most of the time. The project core team was initially formed in the fall of 2005 and consisted of Dr. David Hillson PMP , Kik Piney, and Kris Persun.",recognition risk management practiced well many projects project team set identify practices viewed best practices understood applied successfully managed projects time. project core team initially formed fall 2005 consisted dr. david hillson pmp kik piney kris persun.,[]
 Scope Changes,"During the time the project was chartered, the PMBOK Guide Fourth Edition was commissioned. As a result, the charter of the Practice Standard for Project Risk Management was expanded to be consistent and non-contradictory with that standard.",time project chartered pmbok guide fourth edition commissioned. result charter practice standard project risk management expanded consistent non-contradictory standard.,[]
 Exposure and Consensus,"The standard was submitted as an exposure draft in the winter of 2007, and exposed on 23 March 2008. There were 849 comments. The teams comment acceptance rate comments accepted outright, and accepted with modifications was 57. The PMI Standards Manager submitted the resultant final draft, with the concurrence of the PMI Standards Program MAG, to the PMI Standards Program Consensus Body for official ballot on 27 March 2009 . Twenty-eight members of the PMI Standards Program Consensus Body agreed to participate in the ballot of the Practice Standard for Project Risk Management. Those not participating included the PM and Deputy PM for this standard because their participation was considered a con ict of interest. The balloting period was closed on 25 April 2009 with 23 ballots returned. Consensus Body voting results were as follows 22 affirmative and 1 affirmative with comment. The affirmative with comment pertained to future revisions of the standard and possible improvements to the comment adjudication process.61C",standard submitted exposure draft winter 2007 exposed 23 march 2008. 849 comments. teams comment acceptance rate comments accepted outright accepted modifications 57. pmi standards manager submitted resultant final draft concurrence pmi standards program mag pmi standards program consensus body official ballot 27 march 2009 . twenty-eight members pmi standards program consensus body agreed participate ballot practice standard project risk management. participating included pm deputy pm standard participation considered con ict interest. balloting period closed 25 april 2009 23 ballots returned. consensus body voting results follows 22 affirmative 1 affirmative comment. affirmative comment pertained future revisions standard possible improvements comment adjudication process.61c,[]
 CONTRIBUTORS AND REVIEWERS OF THE PRACTICE STANDARD FOR PROJECT RISK MANAGEMENT,"This appendix lists, alphabetically within groupings, those individuals who have contributed to the development and production of the Practice Standard for Project Risk Management . No simple list or even multiple lists can adequately convey all the contributions of those who have volunteered to develop the Practice Standard for Project Risk Management . The Project Management Institute is grateful to all of these individuals for their support and acknowledges their contributions to the project management profession.",appendix lists alphabetically within groupings individuals contributed development production practice standard project risk management . simple list even multiple lists adequately convey contributions volunteered develop practice standard project risk management . project management institute grateful individuals support acknowledges contributions project management profession.,[]
 Practice Standard for Project Risk Management Project Core Team,"The following individuals served as members, were contributors of text or concepts, and served as leaders within the Project Core Team PCT Cynthia Ann Berg, PhD, PMP Project Manager David T. Hulett, PhD, Deputy Project Manager Dr. David Hillson FRSA, FIRM Kristine Persun, MA, PMP Crispin Kik Piney, BSc, PMP Kristin L. Vitello, Standards Project Specialist Nan Wolfslayer, AStd, Standards Compliance Specialist",following individuals served members contributors text concepts served leaders within project core team pct cynthia ann berg phd pmp project manager david t. hulett phd deputy project manager dr. david hillson frsa firm kristine persun pmp crispin kik piney bsc pmp kristin l. vitello standards project specialist nan wolfslayer astd standards compliance specialist,[]
 Significant Contributors,"In addition to the members of the Project Core Team and the Sub-Team Leaders, the following individuals provided significant input or concepts Jeannette Horne 62C",addition members project core team sub-team leaders following individuals provided significant input concepts jeannette horne 62c,[]
 Practice Standard for Project Risk Management Team Members,"In addition to those listed above, the following individuals participated on the Practice Standard for Project Risk Management Project Team. Ahmad Khairiri Abdul Ghani, PE, MBA Archie Addo, PMP , PhD Priumvada Agarwal, PMP Upinder Aggarwal, PMP Asif M Ahmad, PMP Amr Nabil Ahmed, PMP , MSc Jose Correia Alberto, MEng, CITP Salvador Alvarez, PMP Chukwudi Anakudo, PMP Ananthalakshmi Anbuselvan Jagathnarayanan Angyan, FIE, CE Rodrigo Ariza Pedro Carlos Auler Michael Avery Sai Swaminathan Baba Subramanyan, BE, PMP T eddy Alton Barnes Gail Ellen Bartz David Benfell Paul S. Bennett Douglas A. Berry, PMP Mamoun Besaiso, CE Timothy Birus Dave M. Bond Kiron Bondale Blaine W. Boxwell, MBA, PMP Carlos Eduardo M. F. Braga, PMP Valerie Claire Brasse, PMP Joan Browne, BSc, PMP Adrian Busch, PMP , MBA John J. Byrne, DBA, PMP C. S. Rajan, PMP Eduardo Cadena Franco Caron William G. Chadick, DM, PMP Souray Chakraborty Harshavardhan Chakravarti, BS Shanthi Chandrasekar Noman Zafar Chaudry, PE, PMP Vijay Chauhan, MBA, PMP Subrahmanyam Chinta, VN, PMP Carolyn Chomik Joan F. Church Glenda Clark Lorri Cline, MBA, PMP John D. Corless, PhD Anthony R. Corridore, PMP Coughlin, Philip Nancy A Cygan, MS, PMP Marco Aurlio Danelon, PMP Karel de Bakker, MA, PMP Thijs De Jong Alfredo Del Cano Peter B. de Zouza Mello, SPS, PMP Cheryl L. Dennis Raveesh Dewan, PMP , MBA Ricardo Jose do Rego Barros, PMP John David Driessnack Matt Dubois Jason Eddinger, PMP Maliha Elahi, MSc, PMP Norman Epstein, PMP , MBA Joel Erickson Rodrigo Fernandes Espirito Santo Giovanni Fanduiz Genevive Farag, PMP Mario Fiallo Carranco Leslie Fiedler Eduardo Fleischer63C Kirby Fortenberry, PMP Lynn Francis Michelle L. Franklin, PMP Tracy Fritz Andrew Fry, CMA, PMP Kamlesh Gandhi, PMP , PQs Nlio Gaspar, MSc, PMP Tina Gilrein, PMP , MPM Silvio Hernan Giraldo, PMP , CBCP Vikram Godboley Vivek Goel, PMP Francisco Gomez Serge Goncharov, PMP , PgMP Ronald R.Goodwin, PMP Priyesh Gopalakrishnan Robert Grant Steve Grunewald Denise M. Guerin Sanjay Gupta, PMP Cristine Gusmo, PhD Heidi Ann Hahn, PhD, PMP Laurie Hall Robert W. Harding, PMP Balasubramaniam Hari Gopal, FCA, PMP Chandrashekar Hassan Henry Hattenrath David A. Haugh, PMP John Hendricks, MS, PMP Arnold A. Hill, PMP Rosemarie A. Hilt, MBA, PMP George Hopman, PhD, PE Sean Hugo John Humphrey Walter Hussey, PMP George Jackelen Ramona Jackson Dhanojkumar Jadhav Ayo Jemiri, MS, PMP Stephen Michael Johns Kenneth E. Johnson, MBA, PMP Valeri Jonas, BA Honours, Oxon Roy Joslin Krishna Kallapur, PMP Rita Kaul Mariya Kehoe Rameshchandra B. Ketharaju Amir Ahmed Kheir Behrad Kiafar Konstantinos Kirytopoulos, PhD, PMP Ilkka Koskinen, MSc, PMP Alejandro Kowiendl R.V. Krishna, MBA, CAPM Jeyakumar Krishamoorthy Lars Kruse Polisetty Veera Subrahmanya Kumar, CISSP , CISA Sasi Kumar, PMP Vijaya Kurada Elise Labre David Larson Wei Lee, PMP Henry Lie Guilherme Pereira Lima, PMP Bernard Lindekens Renato Loureno da Silva, MBA, PMP Vasantha R Manda, PMP , CISSP Edmond Matevosian, PE, PMP Rivalino Matias Jr., PhD, MSc Pea Torres Nestor Mauricio, PMP JME Maxwell MBA, PMP Alvis McGinty Traci L. McIntosh, PMP Ramesh Menon Concepcion Merino Philip Mileham64C Waqar Ahmed Mirza Shipra Mitra Siddique Mohammed Guillermo Molina Leon Sergio Monaco, MCTS Elizabeth Mejia Montanez Flavio Montenegro, PMP Mohammad Moradi Linda L. Morgan, MSIS, PMP Rick A. Morris, MPM, PMP Tania Morris MPM, PMP Saradhi Motamarri, MTech, PMP Mark A. Munster PMP , CISA Ronan J. Murphy, CEng, MBA Carlo Muzzarelli Linda Nedney, PMP Rob Nelson, PMP Vaman G. Nene Ann Nguyen, PMP Naema Nunnery Jillian OConnell, MBA, PMP Daryl K. Ono Armin Oppitz, PMP Daniel Pacholski, PMP Abhimanyu Parasher, MBA, PMP David M. Patrick Scott Patton Mridul Paul Chris Payne, PMP Sameer K Penakalapati, ME, PMP Alexandre Perali Sharon D. Perez-Suarez Lavinia Petcu, CAPM Bruce Petro, PMP Krista Lynn Pizzurro Roberto Pons, PMP Carl Pro Julie R. Purcell, PMP , MCSE Sridhar R Pydah, MS, PMP Vijaya Raman, PMP Stephen F. Randolph, PMBA PMP Jennifer Read, PMP , CMC Caroline Robison, PMP Fabiano Rollim, PMP , PgMP Edward Rowe Don Ruchkall Joseph Sabatini Fawzia Salahuddin MCS, PMP Salem Mahaboob Saliha Sherriff, MBA, PMP Sivakumar Sanyasi Rudolf Schenker Marcio Schmidt, PMP Bill Schneider Michael J. Scott, PMP Ravi Shanker, MBA, PMP Viresh C Shah, MBA, PMP Jeff Shore Evandro Silva Maria Isabel Silva Sumano, MBA, PMP Michael D. SimantsVivek Sivakumar, CAPM Kathy J. Slater, PMP Shaun Smith Linda E. Solorzano, BS, PMP Mauro Sotille, PMP Mandayam Sriram, Meng, PMP Tournis Stamatis, PhD PMP Fred Stein Roeland Stellingwerff Jim Stewart, PMP Prasanna V Sugavanam, PMP Ramakrishnan Sundararaman Matthias Svane, MSc, PMP Amin Tabatabayi, MBA, PMP65C Venerando Tangco, PMP , CSM Suresh Kumar Tata, PMP , ACS Patel Tejesh, PMP Sarma Tekumalla, PMP , MBA Jacqueline Teo Michelle Tessier Gangesh Thakur, CPIM, PMP Vadivelu Thanicachalam Ing. Biagio Tramontana, PMP Subhash B. Tuladhar, PMP Ruth H. Vandegrift Sri Pavan Vardan Vemu Christoph Verschuere, Ir, PMP , CISM Marianne Viegas Yiannis Vithynos, PMP , MSc Steve Waddell Paul Waits Jr., PMP , CPM Kuan-Hsun Wang, PMP Nancy Watanabe James Wattnem Lisa L. Winchester, PMP Karen L. Woodruff, RN CFNP , PMP James Yang, PMP , MBA Luay M. Zakaria, PMP Xiaojun Zhou",addition listed following individuals participated practice standard project risk management project team. ahmad khairiri abdul ghani pe mba archie addo pmp phd priumvada agarwal pmp upinder aggarwal pmp asif ahmad pmp amr nabil ahmed pmp msc jose correia alberto meng citp salvador alvarez pmp chukwudi anakudo pmp ananthalakshmi anbuselvan jagathnarayanan angyan fie ce rodrigo ariza pedro carlos auler michael avery sai swaminathan baba subramanyan pmp eddy alton barnes gail ellen bartz david benfell paul s. bennett douglas a. berry pmp mamoun besaiso ce timothy birus dave m. bond kiron bondale blaine w. boxwell mba pmp carlos eduardo m. f. braga pmp valerie claire brasse pmp joan browne bsc pmp adrian busch pmp mba john j. byrne dba pmp c. s. rajan pmp eduardo cadena franco caron william g. chadick dm pmp souray chakraborty harshavardhan chakravarti bs shanthi chandrasekar noman zafar chaudry pe pmp vijay chauhan mba pmp subrahmanyam chinta vn pmp carolyn chomik joan f. church glenda clark lorri cline mba pmp john d. corless phd anthony r. corridore pmp coughlin philip nancy cygan ms pmp marco aurlio danelon pmp karel de bakker pmp thijs de jong alfredo del cano peter b. de zouza mello sps pmp cheryl l. dennis raveesh dewan pmp mba ricardo jose rego barros pmp john david driessnack matt dubois jason eddinger pmp maliha elahi msc pmp norman epstein pmp mba joel erickson rodrigo fernandes espirito santo giovanni fanduiz genevive farag pmp mario fiallo carranco leslie fiedler eduardo fleischer63c kirby fortenberry pmp lynn francis michelle l. franklin pmp tracy fritz andrew fry cma pmp kamlesh gandhi pmp pqs nlio gaspar msc pmp tina gilrein pmp mpm silvio hernan giraldo pmp cbcp vikram godboley vivek goel pmp francisco gomez serge goncharov pmp pgmp ronald r.goodwin pmp priyesh gopalakrishnan robert grant steve grunewald denise m. guerin sanjay gupta pmp cristine gusmo phd heidi ann hahn phd pmp laurie hall robert w. harding pmp balasubramaniam hari gopal fca pmp chandrashekar hassan henry hattenrath david a. haugh pmp john hendricks ms pmp arnold a. hill pmp rosemarie a. hilt mba pmp george hopman phd pe sean hugo john humphrey walter hussey pmp george jackelen ramona jackson dhanojkumar jadhav ayo jemiri ms pmp stephen michael johns kenneth e. johnson mba pmp valeri jonas ba honours oxon roy joslin krishna kallapur pmp rita kaul mariya kehoe rameshchandra b. ketharaju amir ahmed kheir behrad kiafar konstantinos kirytopoulos phd pmp ilkka koskinen msc pmp alejandro kowiendl r.v. krishna mba capm jeyakumar krishamoorthy lars kruse polisetty veera subrahmanya kumar cissp cisa sasi kumar pmp vijaya kurada elise labre david larson wei lee pmp henry lie guilherme pereira lima pmp bernard lindekens renato loureno da silva mba pmp vasantha r manda pmp cissp edmond matevosian pe pmp rivalino matias jr. phd msc pea torres nestor mauricio pmp jme maxwell mba pmp alvis mcginty traci l. mcintosh pmp ramesh menon concepcion merino philip mileham64c waqar ahmed mirza shipra mitra siddique mohammed guillermo molina leon sergio monaco mcts elizabeth mejia montanez flavio montenegro pmp mohammad moradi linda l. morgan msis pmp rick a. morris mpm pmp tania morris mpm pmp saradhi motamarri mtech pmp mark a. munster pmp cisa ronan j. murphy ceng mba carlo muzzarelli linda nedney pmp rob nelson pmp vaman g. nene ann nguyen pmp naema nunnery jillian oconnell mba pmp daryl k. ono armin oppitz pmp daniel pacholski pmp abhimanyu parasher mba pmp david m. patrick scott patton mridul paul chris payne pmp sameer k penakalapati pmp alexandre perali sharon d. perez-suarez lavinia petcu capm bruce petro pmp krista lynn pizzurro roberto pons pmp carl pro julie r. purcell pmp mcse sridhar r pydah ms pmp vijaya raman pmp stephen f. randolph pmba pmp jennifer read pmp cmc caroline robison pmp fabiano rollim pmp pgmp edward rowe ruchkall joseph sabatini fawzia salahuddin mcs pmp salem mahaboob saliha sherriff mba pmp sivakumar sanyasi rudolf schenker marcio schmidt pmp bill schneider michael j. scott pmp ravi shanker mba pmp viresh c shah mba pmp jeff shore evandro silva maria isabel silva sumano mba pmp michael d. simantsvivek sivakumar capm kathy j. slater pmp shaun smith linda e. solorzano bs pmp mauro sotille pmp mandayam sriram meng pmp tournis stamatis phd pmp fred stein roeland stellingwerff jim stewart pmp prasanna v sugavanam pmp ramakrishnan sundararaman matthias svane msc pmp amin tabatabayi mba pmp65c venerando tangco pmp csm suresh kumar tata pmp acs patel tejesh pmp sarma tekumalla pmp mba jacqueline teo michelle tessier gangesh thakur cpim pmp vadivelu thanicachalam ing. biagio tramontana pmp subhash b. tuladhar pmp ruth h. vandegrift sri pavan vardan vemu christoph verschuere ir pmp cism marianne viegas yiannis vithynos pmp msc steve waddell paul waits jr. pmp cpm kuan-hsun wang pmp nancy watanabe james wattnem lisa l. winchester pmp karen l. woodruff rn cfnp pmp james yang pmp mba luay m. zakaria pmp xiaojun zhou,[]
 Final Exposure Draft Reviewers and Contributors,"In addition to team members, the following individuals provided recommendations for improving the Exposure Draft of the Practice Standard for Project Risk Management Marcos Abreu Billa S. Dahaby, MS, ISSI Jos R. Alcal G., PMP Gwendolyn Darby Mohd Al-Kuwari Anirban Das, M.Tech, PMP Ondiappan Arivazhagan Ari, PMP , PMI-RMP Terrell G. Dorn, PE Randall Ash, PMP Peggy Drew, MBA, PMP Imad Babbili Norberto Figuerola, PMP Ernest Baker, PMP Robert A. Dudley, PMP , PMI-SP Jerry Ball, PMP Scott D. Freauf, PMP , IPMA-D Eng. Dimah M. Barakat, PMP , PMI-RMP Mark Gabel, MSCE, PE Suvransu Basu, BE Oliver D. Gildersleeve, Jr., PMP , MCTS Susanne Bode Kurt J. Harris, PMP David J. Boschma PMP B.E. Jame Healy Sergio A. Calvo Abarca, PMP Walter Hekala, CQA, PMP Marlene Carnevali Shirley Hinton, PMP Bruce C. Chadbourne, PMP , PgMP Felicia Elizabeth Hong, PMP , MBA Steve Charters MAPM MSc Manuel Huerta Tomio Chiba, PMP Kristian Hurt Patricia Cohen Christoph Werner Jacobi Wendra Collet, MPM Ashok Jain, PMP , ITIL66C Syed Asad Jawed C.C.E Dirk Pons Ramesh D. Kandadai, member RSIG Carl L. Pritchard, PMP , PMI-RMP Kenneth P . Katz PMP Javier Pumar, PMP Rameshchandra Ketharaju Polisetty Veera Subrahmanya Kumar, PMP , PMI-RMP Gene G. Kuki, PMP Chandrasekar Ramakrishnan PMP , CSQA Abhilash T. Kuzhikat, PMP , ITIL Ivan D. Ramirez R., PMP Peter Lierni Alexander Revin, PMP Christopher E. Maddox, PMP Pedro C. Ribeiro, MBA, PMP Anthony Mampilly, PMP , COP Bruce P . Robison Srinivas Mandgi, PMP , SAP HR Sadegh Roozbehi Ammar W. Mango, PgMP , PMP Tarun Kumar Roy Larry Marks Balaji Selvaraju Andrew McGlade, PMP Hilary Shreter, MBA, PMP Patrick K. Morrow, PMP Fay Simcock MSc, PMP Rajesh Musaliyath Rebecca Spohn, PMP , CQE Eric M. Myers, PMP Pranay Srivastava, PMP , CSM Mustapha NAFA, MPM, PMP Joyce Statz, PhD, PMP Patrick OFarrell, PMP , MBA Massimo Torre, PhD, PMP Lambert I. Ofoegbu, PMP , PMI-RMP Fredrick G. Trussell, PMP Kazuhiko Okubo, PMP , PE Frederick Trussell Karthikeyan Ovuraj Kevin R. Wegryn, PMP , CPM Nancy Perosio, PMP William. E. Wencel, PMP Rafael Pia Quintal Alexey D. Zimin, PME",addition team members following individuals provided recommendations improving exposure draft practice standard project risk management marcos abreu billa s. dahaby ms issi jos r. alcal g. pmp gwendolyn darby mohd al-kuwari anirban das m.tech pmp ondiappan arivazhagan ari pmp pmi-rmp terrell g. dorn pe randall ash pmp peggy drew mba pmp imad babbili norberto figuerola pmp ernest baker pmp robert a. dudley pmp pmi-sp jerry ball pmp scott d. freauf pmp ipma-d eng. dimah m. barakat pmp pmi-rmp mark gabel msce pe suvransu basu oliver d. gildersleeve jr. pmp mcts susanne bode kurt j. harris pmp david j. boschma pmp b.e. jame healy sergio a. calvo abarca pmp walter hekala cqa pmp marlene carnevali shirley hinton pmp bruce c. chadbourne pmp pgmp felicia elizabeth hong pmp mba steve charters mapm msc manuel huerta tomio chiba pmp kristian hurt patricia cohen christoph werner jacobi wendra collet mpm ashok jain pmp itil66c syed asad jawed c.c.e dirk pons ramesh d. kandadai member rsig carl l. pritchard pmp pmi-rmp kenneth p . katz pmp javier pumar pmp rameshchandra ketharaju polisetty veera subrahmanya kumar pmp pmi-rmp gene g. kuki pmp chandrasekar ramakrishnan pmp csqa abhilash t. kuzhikat pmp itil ivan d. ramirez r. pmp peter lierni alexander revin pmp christopher e. maddox pmp pedro c. ribeiro mba pmp anthony mampilly pmp cop bruce p . robison srinivas mandgi pmp sap hr sadegh roozbehi ammar w. mango pgmp pmp tarun kumar roy larry marks balaji selvaraju andrew mcglade pmp hilary shreter mba pmp patrick k. morrow pmp fay simcock msc pmp rajesh musaliyath rebecca spohn pmp cqe eric m. myers pmp pranay srivastava pmp csm mustapha nafa mpm pmp joyce statz phd pmp patrick ofarrell pmp mba massimo torre phd pmp lambert i. ofoegbu pmp pmi-rmp fredrick g. trussell pmp kazuhiko okubo pmp pe frederick trussell karthikeyan ovuraj kevin r. wegryn pmp cpm nancy perosio pmp william. e. wencel pmp rafael pia quintal alexey d. zimin pme,[]
 PMI Standards Member Advisory Group MAG,"The following individuals served as members of the PMI Standards Member Advisory Group MAG during development of the Practice Standard for Project Risk Management Julia M. Bednar, PMP Chris Cartwright, MPM, PMP Douglas Clark Terry Cooke-Davies, PhD FCMI Carol Holliday, MA, PMP Deborah OBray, CIM Hons Asbjrn Rolstads, PhD, Ing David W. Ross, PMP , PgMP Paul E. Shaltry, PMP David Violette, MPM, PMP John Zlockie, MBA, PMP67C",following individuals served members pmi standards member advisory group mag development practice standard project risk management julia m. bednar pmp chris cartwright mpm pmp douglas clark terry cooke-davies phd fcmi carol holliday pmp deborah obray cim hons asbjrn rolstads phd ing david w. ross pmp pgmp paul e. shaltry pmp david violette mpm pmp john zlockie mba pmp67c,[]
 Staff Contributor,"s Special mention is due to the following employees of PMI Steven L. Fahrenkrog, PMP , VP Regional Development Amanda Freitick, Standards Program Administrator Ruth Anne Guerrero, MBA, PMP , Former Standards Manager Donn Greenberg, Manager, Publications Roberta Storer, Product Editor Barbara Walsh, CAPM, Publications Planner 69D",special mention due following employees pmi steven l. fahrenkrog pmp vp regional development amanda freitick standards program administrator ruth anne guerrero mba pmp former standards manager donn greenberg manager publications roberta storer product editor barbara walsh capm publications planner 69d,[]
